website;language;entry;product;checkout;cookies;email filled;phone filled;failure reason;notes
primor.eu;spanish;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Trouble finding and adding product to cart
druni.es;spanish;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Trouble finding and adding product to cart
sephora.es;spanish;passed;passed;partial;passed;passed;skipped;Selection and interaction failures;Trouble with 'Continue as guest' checkbox
notino.es;spanish;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
promofarma.com;spanish;passed;passed;passed;passed;passed;passed;;
arenal.com;spanish;passed;passed;submit;passed;passed;passed;Selection and interaction failures;Skipped terms and conditions checkbox
perfumesclub.com;spanish;passed;passed;partial;passed;passed;skipped;Verification and security challenges;Encountered Google Captcha check during checkout
miin-cosmetics.com;spanish;failed;skipped;skipped;failed;skipped;skipped;Selection and interaction failures;Stuck in cookie dialogue, unable to decline
douglas.es;spanish;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Kept appending information to fields, which disturbed forms
yepoda.es;spanish;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Trouble finding and adding product to cart
zalando.se;swedish;passed;passed;passed;passed;passed;passed;;
sellpy.se;swedish;passed;passed;passed;passed;passed;passed;;
boozt.com;swedish;passed;passed;partial;passed;passed;failed;Form and input errors;ZIP code and Country code invalid
booztlet.com;swedish;passed;passed;partial;passed;passed;failed;Form and input errors;ZIP code and Country code invalid
ellos.se;swedish;failed;skipped;skipped;failed;skipped;skipped;Selection and interaction failures;Stuck in cookie dialogue, unable to decline
stadiumoutlet.se;swedish;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Unable to select size from dropdown menu
lindex.com;swedish;passed;passed;partial;passed;passed;passed;Form and input errors;ZIP code not accepted by website
lager157.com;swedish;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Trouble finding and adding product to cart
adidas.se;swedish;passed;failed;skipped;failed;skipped;skipped;Site and navigation issues;Sizes for products are not loading
dressmann.com;swedish;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
lyco.co.uk;swedish;passed;passed;partial;passed;passed;passed;Form and input errors;ZIP code is not accepted
kicks.se;swedish;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Keeps selecting delivery option
notino.se;swedish;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
gents.se;swedish;failed;skipped;skipped;failed;skipped;skipped;Selection and interaction failures;Stuck in cookie dialogue, unable to decline
cocopanda.se;swedish;failed;skipped;skipped;failed;skipped;skipped;Selection and interaction failures;Stuck in cookie dialogue, unable to decline
sephora.se;swedish;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Keeps searching for continue button at the bottom of the page
parfym.se;swedish;failed;skipped;skipped;failed;skipped;skipped;Selection and interaction failures;Stuck in cookie dialogue, unable to decline
bangerhead.se;swedish;passed;passed;submit;passed;passed;passed;Selection and interaction failures;Unable to click 'Pay Now' in form
luxplus.se;swedish;passed;passed;submit;passed;passed;passed;Selection and interaction failures;Unable to click 'Pay Now' in form
nordicfeel.se;swedish;passed;passed;submit;passed;passed;passed;;Cannot interact with credit card fields
hm.com;dutch;passed;passed;partial;passed;passed;passed;Form and input errors;Email format not accepted by website
shein.com;dutch;failed;skipped;skipped;passed;skipped;skipped;Pop-ups and interruptions;Unable to close pop up on homepage
zara.com;dutch;passed;passed;submit;passed;passed;passed;Site and navigation issues;Site did not respond on payment options
mango.com;dutch;passed;passed;partial;passed;passed;passed;Form and input errors;Email address and ZIP Code format is not accepted by website
asos.com;dutch;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Trouble finding and adding product to cart
rituals.com;dutch;passed;passed;partial;passed;passed;passed;Site and navigation issues;Street and city were filled, but site stated that these were not filled
yesstyle.com;dutch;failed;skipped;skipped;failed;skipped;skipped;Selection and interaction failures;Stuck in cookie dialogue, unable to decline
kikocosmetics.com;dutch;passed;passed;submit;passed;passed;passed;Form and input errors;Skipped CVV in credit card info
